,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,26.00,26.06,25.88,25.9896,17029,-0.1404,-0.54%,25.9896,442.47k,85
2,10/31/16,26.31,26.31,26.13,26.13,8535,-0.22,-0.83%,26.13,223.37k,138
3,10/28/16,26.3801,26.4348,26.30,26.35,6195,-0.14,-0.53%,26.35,163.46k,82
4,10/27/16,26.57,26.57,26.3601,26.49,5482,-0.09,-0.34%,26.49,145.1k,71
5,10/26/16,26.34,26.60,26.34,26.58,11350,0.09,0.34%,26.58,301.09k,97
6,10/25/16,26.13,26.49,26.13,26.49,15930,0.23,0.88%,26.49,420.84k,134
7,10/24/16,26.34,26.34,26.1751,26.26,9893,-0.10,-0.38%,26.26,259.87k,83
8,10/21/16,26.10,26.36,26.10,26.36,20409,0.3528,1.36%,26.36,536.02k,169
9,10/20/16,26.04,26.07,25.88,26.0072,4953,-0.0928,-0.36%,26.0072,128.69k,58
10,10/19/16,26.0938,26.225,26.0938,26.10,9693,0.1532,0.59%,26.10,253.57k,114
11,10/18/16,25.96,26.105,25.7301,25.9468,17088,0.1568,0.61%,25.9468,444.12k,207
12,10/17/16,25.73,25.81,25.73,25.79,7329,-0.14,-0.54%,25.79,189.07k,94
13,10/14/16,25.53,25.94,25.53,25.93,11294,0.35,1.37%,25.93,290.6k,221
14,10/13/16,25.65,25.6844,25.52,25.58,5519,0.03,0.12%,25.58,141.17k,74
15,10/12/16,25.52,25.61,25.52,25.55,5814,-0.12,-0.47%,25.55,148.77k,47
16,10/11/16,25.85,25.85,25.51,25.67,10810,-0.40,-1.53%,25.67,277.39k,81
17,10/10/16,26.02,26.10,25.85,26.07,10528,-0.03,-0.11%,26.07,273.4k,129
18,10/07/16,26.00,26.19,25.96,26.10,6689,-0.04,-0.15%,26.10,174.38k,50
19,10/06/16,26.04,26.23,25.93,26.14,13708,0.00,0.00%,26.14,356.69k,99
20,10/05/16,26.38,26.38,26.0301,26.14,11783,-0.20,-0.76%,26.14,308.74k,91
21,10/04/16,26.41,26.4375,26.30,26.34,9146,-0.12,-0.45%,26.34,241.14k,59
22,10/03/16,26.31,26.48,26.31,26.46,6338,0.15,0.57%,26.46,167.39k,44
23,09/30/16,26.43,26.44,26.30,26.31,18488,-0.16,-0.60%,26.31,487.34k,118
24,09/29/16,26.46,26.5937,26.39,26.47,18035,-0.09,-0.34%,26.47,477.97k,168
25,09/28/16,26.47,26.60,26.45,26.56,20265,0.01,0.04%,26.56,537.14k,125
26,09/27/16,26.39,26.60,26.39,26.55,28959,0.14,0.53%,26.55,766.32k,253
27,09/26/16,26.54,26.58,26.39,26.41,26206,-0.09,-0.34%,26.41,693.32k,262
28,09/23/16,26.53,26.58,26.46,26.50,27664,-0.10,-0.38%,26.50,733.43k,155
29,09/22/16,26.58,26.691,26.535,26.60,28498,0.04,0.15%,26.60,757.91k,309
30,09/21/16,26.52,26.70,26.52,26.56,18144,0.01,0.04%,26.56,482.58k,170
31,09/20/16,26.56,26.64,26.5476,26.55,20272,-0.14,-0.52%,26.55,538.87k,130
32,09/19/16,26.58,26.75,26.57,26.69,15149,-0.02,-0.07%,26.69,403.43k,88
33,09/16/16,26.81,26.91,26.5301,26.71,331275,-0.27,-1.00%,26.71,8.85m,623
34,09/15/16,26.71,27.05,26.53,26.98,74844,0.16,0.60%,26.98,2.01m,557
35,09/14/16,26.24,26.97,26.16,26.82,85954,0.43,1.63%,26.82,2.28m,634
36,09/13/16,25.97,26.41,25.885,26.39,68921,0.27,1.03%,26.39,1.8m,503
37,09/12/16,25.53,26.12,25.53,26.12,58470,0.544367,2.13%,26.12,1.51m,492
38,09/09/16,25.88,26.02,25.81,26.01,33116,0.127829,0.50%,25.5756,856.64k,244
39,09/08/16,25.77,25.89,25.75,25.88,31346,0.108163,0.43%,25.4478,809.61k,164
40,09/07/16,25.73,25.77,25.68,25.77,15892,0.058998,0.23%,25.3396,408.97k,120
41,09/06/16,25.87,25.89,25.65,25.71,35496,-0.127829,-0.50%,25.2806,914.99k,278
42,09/05/16,,,,25.84,0,,0.00%,25.4085,,
43,09/02/16,25.98,25.98,25.77,25.84,10968,-0.009833,-0.04%,25.4085,283.58k,128
44,09/01/16,25.90,25.961,25.85,25.85,11365,-0.039332,-0.15%,25.4183,294.27k,87
