,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,13.25,13.26,13.13,13.24,120273,0.059713,0.46%,13.1767,1.59m,585
2,10/31/16,13.20,13.33,13.15,13.18,161775,0.019904,0.15%,13.117,2.13m,782
3,10/28/16,13.21,13.23,13.11,13.16,254358,-0.079617,-0.60%,13.0971,3.35m,960
4,10/27/16,13.46,13.47,13.24,13.24,199575,-0.298567,-2.22%,13.1767,2.66m,643
5,10/26/16,13.65,13.66,13.50,13.54,86601,-0.119427,-0.88%,13.4753,1.18m,408
6,10/25/16,13.65,13.66,13.58,13.66,105289,0.029857,0.22%,13.5947,1.43m,248
7,10/24/16,13.70,13.70,13.57,13.63,85326,0.00,0.00%,13.5649,1.16m,263
8,10/21/16,13.68,13.68,13.57,13.63,94194,0.049761,0.37%,13.5649,1.28m,301
9,10/20/16,13.55,13.58,13.43,13.58,130075,0.119427,0.89%,13.5151,1.76m,526
10,10/19/16,13.25,13.46,13.25,13.46,163770,0.248805,1.89%,13.3957,2.19m,454
11,10/18/16,13.25,13.33,13.12,13.21,367644,0.019905,0.15%,13.1469,4.86m,1102
12,10/17/16,13.34,13.41,13.15,13.19,324370,-0.17914,-1.35%,13.127,4.29m,982
13,10/14/16,13.51,13.62,13.31,13.37,350519,-0.17914,-1.33%,13.3061,4.71m,1023
14,10/13/16,13.70,13.72,13.55,13.55,168657,-0.149283,-1.09%,13.4853,2.3m,589
15,10/12/16,13.87,13.87,13.70,13.70,111592,-0.165601,-1.20%,13.6345,1.54m,335
16,10/11/16,13.99,13.999,13.91,13.93,100395,-0.079254,-0.57%,13.8001,1.4m,334
17,10/10/16,13.88,14.01,13.86,14.01,190001,0.148602,1.08%,13.8794,2.65m,663
18,10/07/16,13.92,13.9572,13.84,13.86,68716,-0.059441,-0.43%,13.7308,954.67k,256
19,10/06/16,13.86,13.9395,13.82,13.92,107006,0.02972,0.22%,13.7902,1.49m,422
20,10/05/16,13.98,14.01,13.825,13.89,124993,-0.089161,-0.64%,13.7605,1.74m,519
21,10/04/16,14.13,14.13,13.89,13.98,128752,-0.138695,-0.99%,13.8497,1.8m,592
22,10/03/16,14.15,14.155,14.06,14.12,116162,0.019814,0.14%,13.9884,1.64m,383
23,09/30/16,14.11,14.1571,14.08,14.10,107307,0.049533,0.36%,13.9686,1.51m,431
