,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,92.76,92.77,90.21,90.61,1400691,-2.1544,-2.34%,89.9599,127.61m,13635
2,10/31/16,91.80,92.98,91.03,92.78,1005299,1.5587,1.72%,92.1143,92.66m,8717
3,10/28/16,92.06,92.75,90.82,91.21,981439,-0.546054,-0.60%,90.5556,89.93m,10325
4,10/27/16,93.12,93.33,90.90,91.76,876867,-1.39,-1.50%,91.1016,80.26m,8608
5,10/26/16,95.10,95.19,92.54,93.16,787617,-1.0723,-1.15%,92.4916,73.38m,8365
6,10/25/16,94.76,95.01,93.74,94.24,537021,-0.555982,-0.59%,93.5638,50.58m,5419
7,10/24/16,95.67,96.20,94.48,94.80,579349,-0.238278,-0.25%,94.1198,54.98m,5406
8,10/21/16,94.67,95.36,94.43,95.04,534740,-0.387202,-0.41%,94.3581,50.78m,4348
9,10/20/16,96.20,96.44,94.84,95.43,949357,-0.645336,-0.68%,94.7453,90.6m,8191
10,10/19/16,95.92,96.31,95.21,96.08,635453,-0.029785,-0.03%,95.3906,60.9m,6662
11,10/18/16,96.39,96.85,95.52,96.11,515907,0.734691,0.78%,95.4204,49.64m,5502
12,10/17/16,95.45,96.18,95.10,95.37,618907,0.119139,0.13%,94.6857,59.22m,7449
13,10/14/16,95.86,96.79,95.19,95.25,935716,-0.39713,-0.42%,94.5666,89.41m,8401
14,10/13/16,94.89,96.15,94.71,95.65,964899,0.287919,0.30%,94.9637,92.24m,9134
15,10/12/16,95.46,95.70,94.43,95.36,879121,0.109211,0.12%,94.6758,83.63m,9335
16,10/11/16,96.23,96.98,94.96,95.25,908676,-1.3105,-1.37%,94.5666,86.9m,7679
17,10/10/16,96.50,97.37,96.135,96.57,417455,0.258134,0.27%,95.8771,40.37m,4455
18,10/07/16,97.13,98.095,95.74,96.31,552692,-0.188637,-0.20%,95.619,53.33m,4802
19,10/06/16,95.82,97.154,94.91,96.50,1006709,0.367346,0.38%,95.8076,97m,9409
20,10/05/16,98.79,98.98,95.9135,96.13,914166,-2.2835,-2.34%,95.4403,88.11m,9736
21,10/04/16,99.45,99.84,97.97,98.43,679086,-1.0226,-1.04%,97.7238,66.94m,7430
22,10/03/16,100.80,100.81,99.38,99.46,932628,-1.7374,-1.73%,98.7464,93m,10431
23,09/30/16,102.20,102.52,101.16,101.21,733134,-0.317704,-0.32%,100.4838,74.38m,8402
24,09/29/16,102.59,103.16,101.48,101.53,604517,-1.6481,-1.61%,100.8015,61.63m,6336
25,09/28/16,102.84,103.48,102.23,103.19,529064,0.446771,0.44%,102.4496,54.51m,5467
26,09/27/16,104.21,104.64,102.66,102.74,810742,-1.2212,-1.18%,102.0028,83.72m,8711
27,09/26/16,103.37,104.34,103.30,103.97,778263,0.198565,0.19%,103.224,80.92m,8305
28,09/23/16,103.15,104.52,101.98,103.77,718250,0.129067,0.13%,103.0254,74.51m,8307
29,09/22/16,102.24,103.7593,102.00,103.64,623152,2.0452,2.03%,102.8964,64.47m,7544
30,09/21/16,100.22,101.69,99.17,101.58,656165,1.39,1.40%,100.8512,66.02m,7419
31,09/20/16,99.96,100.72,99.82,100.18,571418,0.277991,0.28%,99.4612,57.3m,6191
32,09/19/16,98.90,100.03,98.83,99.90,739443,1.251,1.28%,99.1832,73.62m,6707
33,09/16/16,97.96,98.82,97.56,98.64,1968313,0.158852,0.16%,97.9323,193.84m,7950
34,09/15/16,97.81,98.64,97.18,98.48,673453,0.585767,0.60%,97.7734,66.13m,5556
35,09/14/16,98.32,98.745,97.65,97.89,581807,-0.357417,-0.37%,97.1876,57.06m,7118
36,09/13/16,100.63,101.01,98.12,98.25,886640,-3.2366,-3.21%,97.5451,87.62m,10634
37,09/12/16,98.97,101.96,98.81,101.51,1199353,2.0452,2.07%,100.7817,120.4m,11257
38,09/09/16,102.25,102.305,99.45,99.45,1099290,-3.7032,-3.62%,98.7364,110.12m,10545
39,09/08/16,104.25,104.63,102.90,103.18,2003499,-1.4297,-1.38%,102.4397,207.24m,7392
40,09/07/16,103.53,105.01,103.24,104.62,605751,0.893543,0.87%,103.8694,63.27m,7157
41,09/06/16,103.78,104.02,102.80,103.72,673626,-0.019857,-0.02%,102.9758,69.63m,8825
42,09/05/16,,,,103.74,0,,0.00%,102.9957,,
43,09/02/16,103.41,104.84,103.10,103.74,335847,0.784332,0.77%,102.9957,34.83m,4681
44,09/01/16,103.43,103.84,102.41,102.95,559600,-0.357417,-0.35%,102.2113,57.66m,8030
45,08/31/16,102.48,103.58,102.25,103.31,967772,0.436843,0.43%,102.5688,99.84m,8099
46,08/30/16,102.83,103.13,101.47,102.87,530365,0.148924,0.15%,102.1319,54.31m,6200
47,08/29/16,101.32,103.13,101.26,102.72,647473,1.6977,1.69%,101.983,66.54m,7996
48,08/26/16,102.39,102.80,100.37,101.01,416043,-1.2212,-1.20%,100.2853,42.15m,5718
49,08/25/16,102.21,103.21,101.84,102.24,304765,0.099282,0.10%,101.5064,31.22m,4556
