,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,23.10,23.20,22.95,22.95,830199,-0.20,-0.86%,22.95,19.11m,3272
2,10/31/16,23.10,23.25,23.025,23.15,854693,-0.05,-0.22%,23.15,19.77m,2881
3,10/28/16,23.20,23.30,23.125,23.20,1260643,0.05,0.22%,23.20,29.22m,3310
4,10/27/16,23.30,23.35,23.10,23.15,3052531,-0.15,-0.64%,23.15,71m,6405
5,10/26/16,23.40,23.45,23.30,23.30,288981,-0.10,-0.43%,23.30,6.75m,1223
6,10/25/16,23.45,23.4852,23.20,23.40,454194,-0.10,-0.43%,23.40,10.6m,2217
7,10/24/16,23.55,23.65,23.45,23.50,144693,0.05,0.21%,23.50,3.4m,983
8,10/21/16,23.45,23.55,23.45,23.45,136683,-0.05,-0.21%,23.45,3.21m,927
9,10/20/16,23.45,23.60,23.40,23.50,96097,0.00,0.00%,23.50,2.25m,688
10,10/19/16,23.55,23.55,23.425,23.50,382434,0.00,0.00%,23.50,8.98m,1005
11,10/18/16,23.60,23.60,23.45,23.50,112050,0.00,0.00%,23.50,2.63m,795
12,10/17/16,23.55,23.70,23.45,23.50,84852,-0.02,-0.09%,23.50,2m,560
13,10/14/16,23.63,23.75,23.48,23.52,339938,-0.05,-0.21%,23.52,8m,1719
14,10/13/16,23.55,23.66,23.49,23.57,511148,-0.05,-0.21%,23.57,12.05m,1755
15,10/12/16,23.61,23.71,23.55,23.62,81687,0.06,0.25%,23.62,1.93m,696
16,10/11/16,23.52,23.63,23.42,23.56,114208,-0.03,-0.13%,23.56,2.69m,804
17,10/10/16,23.47,23.70,23.47,23.59,61636,0.17,0.73%,23.59,1.45m,611
18,10/07/16,23.49,23.64,23.39,23.42,145572,-0.07,-0.30%,23.42,3.41m,957
19,10/06/16,23.60,23.70,23.45,23.49,569372,-0.06,-0.25%,23.49,13.4m,2218
20,10/05/16,23.80,23.91,23.54,23.55,720861,-0.23,-0.97%,23.55,17.05m,2370
21,10/04/16,23.77,23.85,23.74,23.78,185944,-0.04,-0.17%,23.78,4.42m,1325
22,10/03/16,23.70,23.83,23.64,23.82,304224,0.10,0.42%,23.82,7.23m,2054
23,09/30/16,23.80,23.84,23.67,23.72,413117,-0.08,-0.34%,23.72,9.8m,2290
24,09/29/16,23.83,23.89,23.73,23.80,196334,-0.05,-0.21%,23.80,4.68m,1613
25,09/28/16,23.75,23.92,23.73,23.85,442256,0.14,0.59%,23.85,10.53m,3040
26,09/27/16,23.85,23.87,23.64,23.71,548564,-0.13,-0.55%,23.71,13.04m,3374
27,09/26/16,23.71,24.00,23.64,23.84,1027676,0.19,0.80%,23.84,24.45m,5096
28,09/23/16,23.73,23.8525,23.56,23.65,1004303,-0.02,-0.08%,23.65,23.81m,5659
29,09/22/16,23.58,24.28,23.54,23.67,6282749,6.51,37.94%,23.67,149.4m,27724
30,09/21/16,17.28,17.33,16.96,17.16,291689,0.07,0.41%,17.16,5m,2327
31,09/20/16,17.42,17.54,16.99,17.09,232206,-0.46,-2.62%,17.09,3.97m,1990
32,09/19/16,17.60,18.12,17.49,17.55,207039,-0.07,-0.40%,17.55,3.66m,1801
