,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,75.49,76.14,74.62,74.73,792330,-0.478839,-0.64%,74.5494,59.38m,7009
2,10/31/16,75.39,75.57,74.96,75.21,780161,0.019951,0.03%,75.0282,58.7m,6817
3,10/28/16,74.09,75.49,73.83,75.19,777305,1.1871,1.61%,75.0083,58.27m,6079
4,10/27/16,75.69,78.18,73.685,74.00,2615805,-1.2969,-1.73%,73.8211,195.76m,17402
5,10/26/16,75.38,75.94,74.95,75.30,1193573,0.019952,0.03%,75.118,90.12m,7447
6,10/25/16,74.67,75.49,74.57,75.28,750429,0.389057,0.52%,75.098,56.45m,4577
7,10/24/16,74.63,74.99,74.27,74.89,370063,0.528719,0.71%,74.709,27.67m,2685
8,10/21/16,73.66,74.44,73.4601,74.36,411783,0.339178,0.46%,74.1803,30.49m,3914
9,10/20/16,74.02,74.36,73.67,74.02,498932,-0.30925,-0.42%,73.8411,36.93m,4778
10,10/19/16,74.56,74.82,74.05,74.33,567191,-0.219469,-0.30%,74.1503,42.16m,4998
11,10/18/16,75.14,75.63,74.10,74.55,541073,-0.079806,-0.11%,74.3698,40.36m,5363
12,10/17/16,74.15,75.15,74.07,74.63,724236,0.418985,0.57%,74.4496,53.98m,7983
13,10/14/16,74.02,75.14,74.02,74.21,918848,0.718259,0.98%,74.0306,68.43m,7790
14,10/13/16,73.52,73.78,72.94,73.49,914937,-0.049879,-0.07%,73.3124,67.11m,7015
15,10/12/16,72.61,73.76,72.37,73.54,1215858,0.877873,1.21%,73.3623,89.36m,8962
16,10/11/16,72.02,72.81,71.89,72.66,846568,0.329203,0.46%,72.4844,61.27m,7114
17,10/10/16,72.06,72.66,71.91,72.33,646730,0.229444,0.32%,72.1552,46.68m,5152
18,10/07/16,72.51,72.57,71.86,72.10,969460,-0.59855,-0.83%,71.9257,69.87m,6278
19,10/06/16,72.08,73.1194,71.71,72.70,1183185,0.528719,0.73%,72.5243,85.46m,7756
20,10/05/16,73.22,73.72,71.895,72.17,1145539,-0.678357,-0.93%,71.9956,83.13m,8548
21,10/04/16,74.31,74.41,72.38,72.85,1192494,-1.4764,-1.99%,72.6739,87.12m,10229
22,10/03/16,75.04,75.04,73.68,74.33,727285,-0.369106,-0.50%,74.1503,53.99m,5484
23,09/30/16,75.64,75.64,74.38,74.70,596812,-0.209493,-0.28%,74.5194,44.64m,5256
24,09/29/16,75.18,75.55,74.57,74.91,589983,-0.349154,-0.47%,74.7289,44.3m,5993
25,09/28/16,74.22,75.32,74.02,75.26,832999,0.937728,1.26%,75.0781,62.41m,7330
26,09/27/16,74.37,74.63,73.84,74.32,627744,0.039904,0.05%,74.1404,46.62m,5733
27,09/26/16,74.05,74.37,73.48,74.28,752707,-0.079807,-0.11%,74.1005,55.72m,6690
28,09/23/16,74.98,75.00,74.07,74.36,651861,-0.967655,-1.29%,74.1803,48.49m,6732
29,09/22/16,75.50,75.66,75.10,75.33,961241,0.209492,0.28%,75.1479,72.43m,7481
30,09/21/16,74.34,75.34,73.59,75.12,1229277,1.3467,1.83%,74.9384,91.8m,9387
31,09/20/16,75.56,76.06,73.43,73.77,1343441,-1.6759,-2.23%,73.5917,99.49m,10148
32,09/19/16,74.69,75.82,74.44,75.45,591285,-0.039904,-0.05%,75.2676,44.55m,5274
33,09/16/16,76.60,76.60,75.01,75.49,4282656,-1.227,-1.60%,75.3075,323.48m,6927
34,09/15/16,76.35,77.19,76.065,76.72,600020,0.409009,0.54%,76.5346,45.92m,5398
35,09/14/16,76.05,76.60,75.74,76.31,612013,0.189541,0.25%,76.1256,46.72m,5950
36,09/13/16,76.45,76.82,75.4501,76.12,783608,-0.768139,-1.00%,75.936,59.67m,7289
37,09/12/16,76.62,76.99,75.79,76.89,1014665,0.149638,0.20%,76.7042,77.59m,9267
38,09/09/16,77.45,77.86,76.64,76.74,1047648,-1.4066,-1.80%,76.5545,80.67m,8842
39,09/08/16,77.51,78.20,77.48,78.15,587276,0.518743,0.67%,77.9611,45.76m,5257
40,09/07/16,78.75,78.75,77.27,77.63,647010,-1.0375,-1.32%,77.4424,50.25m,5932
41,09/06/16,79.01,79.135,78.145,78.67,931568,0.179565,0.23%,78.4799,73.17m,8085
42,09/05/16,,,,78.49,0,,0.00%,78.3003,,
43,09/02/16,78.29,79.715,77.94,78.49,1155454,0.688333,0.89%,78.3003,90.56m,10457
44,09/01/16,76.11,77.97,76.07,77.80,892865,1.3667,1.79%,77.612,69.02m,7920
45,08/31/16,76.39,76.79,76.12,76.43,935587,-0.279323,-0.37%,76.2453,71.48m,6345
46,08/30/16,76.82,77.31,76.41,76.71,649778,-0.379081,-0.49%,76.5246,49.94m,5639
47,08/29/16,76.70,77.31,76.28,77.09,524937,0.448912,0.59%,76.9037,40.32m,4968
48,08/26/16,77.65,78.47,76.46,76.64,1651233,-0.798067,-1.03%,76.4548,127.61m,11026
49,08/25/16,77.57,77.90,77.10,77.44,501320,-0.06983,-0.09%,77.2528,38.8m,5004
50,08/24/16,77.57,77.65,77.118,77.51,528314,-0.369106,-0.48%,77.3227,40.89m,5012
51,08/23/16,78.28,78.615,77.62,77.88,786311,-0.418985,-0.54%,77.6918,61.25m,7154
52,08/22/16,78.43,78.62,77.98,78.30,527420,-0.299275,-0.38%,78.1107,41.33m,4771
53,08/19/16,77.89,79.05,77.89,78.60,578414,0.399033,0.51%,78.41,45.43m,5244
54,08/18/16,77.88,78.35,77.30,78.20,499846,0.16959,0.22%,78.011,38.91m,4477
55,08/17/16,77.31,78.07,77.27,78.03,571054,0.698308,0.91%,77.8414,44.38m,5585
56,08/16/16,77.95,78.58,77.28,77.33,579574,-0.648429,-0.83%,77.1431,45.2m,5684
57,08/15/16,78.42,78.94,77.84,77.98,569615,-0.418985,-0.54%,77.7915,44.62m,5116
58,08/12/16,78.76,79.32,78.20,78.40,387519,-0.638453,-0.81%,78.2105,30.42m,3814
59,08/11/16,79.54,79.71,78.67,79.04,524391,0.00,0.00%,78.849,41.5m,4886
60,08/10/16,78.49,79.16,77.78,79.04,592875,0.947704,1.22%,78.849,46.65m,5575
61,08/09/16,77.26,78.38,76.83,78.09,827069,0.947703,1.23%,77.9013,64.56m,7436
