,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,46.46,46.67,44.60,45.31,1794578,-0.872965,-1.91%,44.9478,81.48m,13343
2,10/31/16,46.14,46.58,46.08,46.19,1192657,0.02976,0.06%,45.8208,55.19m,8548
3,10/28/16,46.60,47.02,45.93,46.16,864680,-0.168641,-0.37%,45.791,40.17m,7497
4,10/27/16,47.03,47.28,45.49,46.33,1153404,-0.615044,-1.32%,45.9596,53.26m,9642
5,10/26/16,46.76,47.30,46.43,46.95,2120996,-0.00992,-0.02%,46.5747,99.55m,14036
6,10/25/16,46.88,47.19,46.67,46.96,2432323,-0.248001,-0.53%,46.5846,114.13m,13197
7,10/24/16,47.00,47.93,46.80,47.21,2224713,0.763844,1.66%,46.8326,105.11m,14682
8,10/21/16,46.41,47.04,45.91,46.44,1013035,-0.466242,-1.00%,46.0688,47.18m,7539
9,10/20/16,48.29,48.30,46.55,46.91,1879263,-1.7261,-3.58%,46.535,88.56m,13252
10,10/19/16,48.08,48.79,47.75,48.65,1070880,0.843205,1.78%,48.2611,51.88m,8731
11,10/18/16,48.38,48.38,47.44,47.80,1542756,0.208321,0.44%,47.4179,73.72m,9855
12,10/17/16,46.79,48.18,46.79,47.59,1638028,0.872966,1.88%,47.2096,77.98m,9858
13,10/14/16,45.53,46.99,45.53,46.71,1191366,1.6467,3.68%,46.3366,55.55m,9462
14,10/13/16,45.46,45.51,44.31,45.05,1346237,-0.942406,-2.07%,44.6899,60.53m,10901
15,10/12/16,45.75,46.25,45.65,46.00,1116610,0.337282,0.74%,45.6323,51.37m,10179
16,10/11/16,46.78,46.91,45.56,45.66,1688939,-1.3094,-2.81%,45.295,77.46m,12580
17,10/10/16,46.70,47.40,46.32,46.98,1099182,0.476163,1.03%,46.6044,51.47m,9704
18,10/07/16,47.23,47.52,46.26,46.50,1951809,-0.942406,-2.00%,46.1283,90.9m,12980
19,10/06/16,46.34,48.00,46.34,47.45,1669444,0.902726,1.96%,47.0707,79.4m,12104
20,10/05/16,48.33,48.33,45.59,46.54,3339876,-1.3194,-2.78%,46.168,155.74m,23526
21,10/04/16,48.61,48.89,47.74,47.87,941630,-0.337282,-0.71%,47.4873,45.27m,9127
22,10/03/16,48.47,49.07,47.96,48.21,1154748,-0.267842,-0.56%,47.8246,55.76m,10810
23,09/30/16,47.83,48.70,47.6145,48.48,1932426,1.1606,2.47%,48.0925,93.55m,12538
24,09/29/16,47.68,48.09,47.08,47.31,1139668,-0.426562,-0.90%,46.9318,54.17m,8672
25,09/28/16,47.57,48.24,46.92,47.74,1850770,0.13888,0.29%,47.3584,87.84m,14136
26,09/27/16,47.39,47.89,47.23,47.60,1416332,-0.08928,-0.19%,47.2195,67.44m,8279
27,09/26/16,48.10,48.22,47.61,47.69,1214842,-0.704324,-1.47%,47.3088,58.14m,8745
28,09/23/16,48.61,49.05,48.11,48.40,1282204,0.03968,0.08%,48.0131,62.14m,9128
29,09/22/16,48.52,49.13,47.96,48.36,1729837,0.06944,0.14%,47.9734,84.06m,9142
30,09/21/16,47.78,48.37,47.46,48.29,1742706,1.0416,2.22%,47.904,83.72m,12571
31,09/20/16,47.98,48.36,47.20,47.24,1392062,-0.426563,-0.90%,46.8624,66.09m,11276
32,09/19/16,48.25,48.67,47.67,47.67,1507165,-0.0496,-0.10%,47.2889,72.4m,11913
33,09/16/16,47.20,48.9295,46.88,47.72,3440108,1.1805,2.56%,47.3385,164.72m,19354
34,09/15/16,46.02,46.93,45.76,46.53,3481265,0.555523,1.22%,46.158,162.02m,18209
35,09/14/16,46.71,46.76,45.64,45.97,1697258,-0.585283,-1.27%,45.6025,78.12m,14441
36,09/13/16,46.60,47.49,46.2303,46.56,2030622,-0.724165,-1.54%,46.1878,94.6m,14581
37,09/12/16,45.96,47.48,45.7401,47.29,2187137,0.793605,1.72%,46.912,103.11m,14434
38,09/09/16,47.26,47.6086,46.16,46.49,2813528,-1.6864,-3.53%,46.1184,131.27m,23123
39,09/08/16,48.96,49.12,48.005,48.19,2150263,-0.882885,-1.81%,47.8048,103.84m,14978
40,09/07/16,48.84,49.18,48.41,49.08,1242362,0.248001,0.51%,48.6877,60.8m,11219
41,09/06/16,48.72,49.14,48.42,48.83,1354074,0.277762,0.58%,48.4397,65.97m,10640
42,09/05/16,,,,48.55,0,,0.00%,48.1619,,
43,09/02/16,48.90,48.97,48.35,48.55,1183831,0.03968,0.08%,48.1619,57.56m,9923
44,09/01/16,48.01,48.56,47.72,48.51,1754701,0.605124,1.27%,48.1222,84.67m,15679
45,08/31/16,48.16,48.44,47.64,47.90,1832484,-0.634884,-1.32%,47.5171,87.81m,13427
46,08/30/16,48.64,48.88,48.18,48.54,1624856,-0.049601,-0.10%,48.152,78.96m,12926
47,08/29/16,47.97,48.80,47.97,48.59,2031496,0.535684,1.12%,48.2016,98.63m,14758
48,08/26/16,47.34,48.70,47.22,48.05,4420246,0.972166,2.08%,47.6659,212.3m,30585
49,08/25/16,44.44,47.33,44.23,47.07,3930746,2.5792,5.85%,46.6937,182.39m,24131
50,08/24/16,44.67,44.86,44.33,44.47,1134951,-0.208321,-0.47%,44.1145,50.59m,8543
51,08/23/16,44.77,45.20,44.585,44.68,1486246,0.327362,0.74%,44.3228,66.51m,10093
52,08/22/16,44.83,45.25,43.57,44.35,2441369,-1.0515,-2.33%,43.9955,107.77m,17220
53,08/19/16,45.22,45.74,44.625,45.41,1672160,-0.158721,-0.35%,45.047,75.91m,13362
54,08/18/16,45.51,45.99,45.115,45.57,1720641,0.07936,0.18%,45.2057,78.36m,10693
55,08/17/16,45.04,45.56,44.59,45.49,1326121,0.624964,1.40%,45.1264,60.01m,10471
56,08/16/16,44.39,45.54,44.32,44.86,1335707,0.853125,1.95%,44.5014,60m,11007
57,08/15/16,44.79,44.87,43.95,44.00,1437964,-0.466243,-1.06%,43.6483,63.76m,11912
58,08/12/16,45.11,45.34,44.19,44.47,1466428,-0.793605,-1.77%,44.1145,65.37m,11053
59,08/11/16,44.76,45.30,43.89,45.27,2091103,1.3987,3.21%,44.9081,93.96m,13777
60,08/10/16,43.84,44.87,43.23,43.86,2104920,0.401762,0.93%,43.5094,92.53m,13633
61,08/09/16,44.14,44.58,43.74,43.455,2064034,-0.173793,-0.40%,43.1076,90.87m,14784
62,08/08/16,44.08,44.29,43.71,44.01,1470280,-0.068841,-0.16%,43.2814,64.69m,9868
63,08/05/16,44.12,44.59,43.82,44.08,1825948,0.354041,0.82%,43.3503,80.59m,14677
64,08/04/16,42.43,44.99,42.43,43.72,3875962,1.7407,4.22%,42.9962,169.09m,26082
65,08/03/16,40.68,42.24,40.63,41.95,2221487,0.924439,2.29%,41.2555,92.51m,17817
66,08/02/16,41.58,41.73,40.65,41.01,2183592,-0.894935,-2.17%,40.3311,89.59m,16722
67,08/01/16,42.88,42.93,41.68,41.92,2006381,-0.973611,-2.31%,41.226,84.12m,13424
68,07/29/16,42.46,42.96,42.16,42.91,2359472,0.137683,0.33%,42.1996,100.66m,13572
69,07/28/16,42.92,43.32,42.54,42.77,974608,-0.462219,-1.09%,42.0619,41.78m,8243
70,07/27/16,43.86,43.86,42.89,43.24,1259252,-0.383544,-0.89%,42.5242,54.41m,11174
71,07/26/16,42.64,43.72,42.64,43.63,1043498,0.776922,1.84%,42.9077,45.22m,9145
72,07/25/16,42.82,43.13,42.47,42.84,1164843,-0.285199,-0.67%,42.1308,49.86m,8000
73,07/22/16,43.30,43.34,42.98,43.13,827903,-0.157351,-0.37%,42.416,35.75m,6729
74,07/21/16,43.74,44.14,43.14,43.29,1104524,-0.2852,-0.67%,42.5733,48.09m,8681
75,07/20/16,43.16,43.84,42.79,43.58,1595030,0.649075,1.54%,42.8585,69.47m,9724
76,07/19/16,43.10,43.40,42.66,42.92,999243,-0.324538,-0.76%,42.2095,42.96m,9477
77,07/18/16,42.32,43.355,41.89,43.25,1944970,0.727749,1.74%,42.534,83.59m,14096
78,07/15/16,42.16,43.18,41.15,42.51,3627879,2.2619,5.72%,41.8062,153.7m,23473
79,07/14/16,40.00,40.33,39.39,40.21,1799133,0.590067,1.51%,39.5443,71.99m,13369
80,07/13/16,40.02,40.09,39.14,39.61,1193780,-0.127848,-0.33%,38.9543,47.12m,9974
81,07/12/16,39.44,40.005,39.26,39.74,1254799,0.855597,2.24%,39.0821,49.9m,10143
82,07/11/16,38.61,39.07,38.45,38.87,848684,0.314702,0.83%,38.2265,32.94m,7191
83,07/08/16,37.75,38.64,37.71,38.55,1575778,1.367,3.74%,37.9118,60.36m,10187
84,07/07/16,37.61,38.04,36.83,37.16,1474562,-0.255695,-0.69%,36.5448,54.92m,12684
85,07/06/16,36.99,37.47,36.33,37.42,2601379,0.373708,1.03%,36.8005,96.07m,20433
86,07/05/16,38.85,38.85,36.395,37.04,2567308,-1.9767,-5.15%,36.4268,95.14m,15037
87,07/04/16,,,,39.05,0,,0.00%,38.4035,,
88,07/01/16,38.85,39.44,38.68,39.05,1128494,0.17702,0.46%,38.4035,44.06m,8201
89,06/30/16,38.07,38.88,37.64,38.87,1924955,0.875266,2.34%,38.2265,74.23m,11916
90,06/29/16,37.98,38.36,37.32,37.98,1215350,0.698246,1.91%,37.3512,46.11m,9908
91,06/28/16,36.34,37.37,35.91,37.27,1539956,1.3768,3.90%,36.653,56.67m,13311
92,06/27/16,38.07,38.21,35.77,35.87,1921829,-2.675,-7.05%,35.2762,69.69m,14999
93,06/24/16,39.32,40.03,38.38,38.59,3441205,-2.8717,-7.03%,37.9511,133.83m,19731
94,06/23/16,41.19,41.53,40.91,41.51,1753048,1.0326,2.60%,40.8228,72.48m,9947
95,06/22/16,41.14,41.14,40.38,40.46,1187663,-0.432716,-1.08%,39.7902,48.24m,7600
96,06/21/16,40.69,41.23,40.505,40.90,1446206,0.147516,0.37%,40.2229,59.01m,11369
97,06/20/16,40.50,41.17,39.78,40.75,2236527,1.0031,2.57%,40.0754,91.11m,14091
98,06/17/16,38.75,39.98,38.75,39.73,2146902,0.776921,2.03%,39.0723,84.83m,11751
99,06/16/16,38.22,38.99,37.78,38.94,1198020,0.560564,1.49%,38.2953,46.17m,8611
100,06/15/16,38.14,39.01,38.018,38.37,1236797,0.521225,1.40%,37.7348,47.8m,9095
101,06/14/16,37.82,37.94,37.30,37.84,1146320,-0.127847,-0.34%,37.2136,43.15m,8607
102,06/13/16,38.62,39.19,37.92,37.97,1575115,-1.0129,-2.64%,37.3414,60.56m,11071
103,06/10/16,39.92,39.92,38.635,39.00,1300095,-1.2785,-3.23%,38.3544,50.76m,10209
104,06/09/16,40.44,40.44,39.72,40.30,671002,-0.167186,-0.42%,39.6328,26.95m,5605
