,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,,,,8.1506,0,,0.00%,8.1506,,
2,10/31/16,,,,8.1506,1,0.00,0.00%,8.1506,,1
3,10/28/16,,,,8.1506,41,0.00,0.00%,8.1506,,2
4,10/27/16,8.09,8.1506,8.09,8.1506,4303,0.0506,0.62%,8.1506,34.86k,9
5,10/26/16,8.13,8.13,8.10,8.10,1897,-0.02,-0.25%,8.10,15.39k,3
6,10/25/16,8.1713,8.2354,8.12,8.12,4654,-0.05,-0.61%,8.12,37.94k,19
7,10/24/16,8.17,8.18,8.15,8.17,800,0.02,0.25%,8.17,6.54k,4
8,10/21/16,8.15,8.15,8.15,8.15,830,-0.10,-1.21%,8.15,6.76k,5
9,10/20/16,8.25,8.25,8.25,8.25,1075,0.00,0.00%,8.25,8.87k,8
10,10/19/16,8.25,8.25,8.25,8.25,500,0.10,1.23%,8.25,4.13k,1
11,10/18/16,,,,8.15,13,0.00,0.00%,8.15,,2
12,10/17/16,8.15,8.15,8.15,8.15,503,0.03,0.37%,8.15,4.1k,4
13,10/14/16,,,,8.12,14,0.00,0.00%,8.12,,3
14,10/13/16,8.12,8.156,8.12,8.12,2400,0.015,0.19%,8.12,19.55k,3
15,10/12/16,,,,8.105,199,0.00,0.00%,8.105,,3
16,10/11/16,8.04,8.20,8.04,8.105,4334,-0.095,-1.16%,8.105,35.09k,32
17,10/10/16,8.05,8.20,7.987,8.20,9303,-0.11,-1.32%,8.20,74.61k,56
18,10/07/16,8.22,8.35,8.20,8.31,7878,0.18,2.21%,8.31,65.28k,34
19,10/06/16,8.0596,8.13,8.0576,8.13,7900,0.10,1.25%,8.13,63.99k,12
20,10/05/16,8.1146,8.13,8.03,8.03,3018,-0.10,-1.23%,8.03,24.35k,23
21,10/04/16,,,,8.13,117,0.00,0.00%,8.13,,2
22,10/03/16,,,,8.13,0,,0.00%,8.13,,
23,09/30/16,8.09,8.24,8.07,8.13,2426,-0.01,-0.12%,8.13,19.74k,28
24,09/29/16,8.10,8.221,8.10,8.14,2113,-0.03,-0.37%,8.14,17.22k,27
25,09/28/16,8.0677,8.22,8.0429,8.17,2403,0.1591,1.99%,8.17,19.51k,27
26,09/27/16,8.05,8.05,8.01,8.0109,1451,-0.1791,-2.19%,8.0109,11.66k,10
27,09/26/16,,,,8.19,4,0.00,0.00%,8.19,,1
28,09/23/16,8.26,8.26,8.15,8.19,1004,-0.05,-0.61%,8.19,8.26k,4
29,09/22/16,8.034,8.24,8.034,8.24,4337,0.23,2.87%,8.24,35.21k,25
30,09/21/16,8.10,8.10,8.00,8.01,1870,-0.1334,-1.64%,8.01,15.02k,10
31,09/20/16,8.03,8.1434,8.02,8.1434,2400,0.0084,0.10%,8.1434,19.43k,19
