,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,519.09,519.09,510.52,512.10,45668,-4.11,-0.80%,512.10,23.42m,799
2,10/31/16,517.30,521.26,513.40,516.21,53352,0.41,0.08%,516.21,27.6m,980
3,10/28/16,514.08,519.875,512.80,515.80,30041,1.48,0.29%,515.80,15.52m,740
4,10/27/16,516.00,516.00,511.22,514.32,44101,0.57,0.11%,514.32,22.64m,966
5,10/26/16,512.94,514.29,511.88,513.75,41937,1.23,0.24%,513.75,21.52m,953
6,10/25/16,512.70,516.98,511.7942,512.52,39898,-0.07,-0.01%,512.52,20.51m,743
7,10/24/16,516.22,518.96,511.28,512.59,61523,-1.35,-0.26%,512.59,31.59m,1081
8,10/21/16,514.05,515.23,512.25,513.94,39319,-3.35,-0.65%,513.94,20.21m,692
9,10/20/16,522.28,522.28,514.47,517.29,45789,-4.90,-0.94%,517.29,23.66m,802
10,10/19/16,523.70,525.95,521.30,522.19,30083,-2.79,-0.53%,522.19,15.72m,782
11,10/18/16,531.85,531.85,522.47,524.98,31923,-2.08,-0.39%,524.98,16.79m,796
12,10/17/16,528.48,528.48,523.50,527.06,22253,-1.79,-0.34%,527.06,11.71m,482
13,10/14/16,525.65,532.27,523.30,528.85,27468,3.77,0.72%,528.85,14.5m,563
14,10/13/16,524.41,525.51,520.00,525.08,39958,-2.67,-0.51%,525.08,20.91m,987
15,10/12/16,520.50,528.61,519.7201,527.75,51429,8.12,1.56%,527.75,26.98m,1016
16,10/11/16,526.08,526.08,519.40,519.63,61293,-7.59,-1.44%,519.63,31.92m,1095
17,10/10/16,527.65,528.89,525.06,527.22,36460,1.84,0.35%,527.22,19.2m,808
18,10/07/16,523.67,529.77,523.29,525.38,56060,0.31,0.06%,525.38,29.52m,798
19,10/06/16,524.25,526.32,519.405,525.07,43004,0.95,0.18%,525.07,22.48m,1024
20,10/05/16,528.99,533.94,521.95,524.12,53406,-2.03,-0.39%,524.12,28.16m,1339
21,10/04/16,520.48,527.40,518.87,526.15,52518,7.16,1.38%,526.15,27.43m,1239
22,10/03/16,522.66,525.76,518.12,518.99,29961,-6.03,-1.15%,518.99,15.63m,762
23,09/30/16,522.45,527.73,519.89,525.02,97979,3.09,0.59%,525.02,51.44m,1299
24,09/29/16,530.11,532.32,521.76,521.93,32437,-8.74,-1.65%,521.93,17.05m,653
25,09/28/16,527.59,532.12,526.10,530.67,36935,4.57,0.87%,530.67,19.55m,710
26,09/27/16,522.00,527.39,520.385,526.10,32968,5.45,1.05%,526.10,17.28m,541
27,09/26/16,523.50,524.49,520.0301,520.65,32191,-3.89,-0.74%,520.65,16.8m,580
28,09/23/16,529.40,530.00,524.54,524.54,24135,-8.16,-1.53%,524.54,12.72m,544
29,09/22/16,529.08,535.60,527.80,532.70,46563,4.89,0.93%,532.70,24.77m,785
30,09/21/16,523.64,529.62,518.7201,527.81,51905,5.80,1.11%,527.81,27.28m,1008
31,09/20/16,524.39,532.87,521.00,522.01,41589,-0.87,-0.17%,522.01,21.74m,736
32,09/19/16,516.75,523.06,516.56,522.88,30443,7.86,1.53%,522.88,15.83m,573
33,09/16/16,519.20,519.95,513.88,515.02,52979,-5.74,-1.10%,515.02,27.38m,793
34,09/15/16,517.01,523.06,516.62,520.76,34980,4.33,0.84%,520.76,18.24m,921
35,09/14/16,518.90,520.1299,515.435,516.43,43259,-2.25,-0.43%,516.43,22.37m,789
36,09/13/16,518.65,521.90,516.87,518.68,35969,-2.19,-0.42%,518.68,18.68m,725
37,09/12/16,514.05,523.01,514.05,520.87,75532,3.73,0.72%,520.87,39.2m,1267
38,09/09/16,525.88,525.88,516.89,517.14,39252,-11.21,-2.12%,517.14,20.38m,851
39,09/08/16,539.70,539.70,527.53,528.35,51260,-11.15,-2.07%,528.35,27.23m,978
40,09/07/16,537.48,540.61,534.99,539.50,35902,1.53,0.28%,539.50,19.33m,558
41,09/06/16,538.20,538.44,530.78,537.97,34630,0.34,0.06%,537.97,18.57m,884
42,09/05/16,,,,537.63,0,,0.00%,537.63,,
43,09/02/16,532.72,538.71,528.51,537.63,47822,9.31,1.76%,537.63,25.58m,1023
44,09/01/16,538.34,539.79,524.79,528.32,39719,-7.88,-1.47%,528.32,21.07m,988
45,08/31/16,535.79,536.725,531.65,536.20,52450,-0.27,-0.05%,536.20,28.09m,708
46,08/30/16,535.01,537.8201,533.58,536.47,23198,-0.01,-0.00%,536.47,12.44m,619
47,08/29/16,528.31,538.00,528.31,536.48,32025,6.13,1.16%,536.48,17.15m,814
48,08/26/16,533.37,537.27,525.25,530.35,34940,-2.14,-0.40%,530.35,18.56m,736
49,08/25/16,529.78,534.97,529.16,532.49,29414,1.78,0.34%,532.49,15.66m,683
50,08/24/16,528.95,531.00,527.40,530.71,23100,1.38,0.26%,530.71,12.24m,494
51,08/23/16,529.70,531.90,525.57,529.33,30931,-0.81,-0.15%,529.33,16.38m,536
52,08/22/16,530.12,530.99,524.4325,530.14,28918,-0.51,-0.10%,530.14,15.27m,583
53,08/19/16,528.00,531.50,526.01,530.65,51733,0.78,0.15%,530.65,27.41m,796
54,08/18/16,520.00,530.04,520.00,529.87,39980,9.97,1.92%,529.87,21.1m,892
55,08/17/16,523.44,523.44,517.89,519.90,60258,-3.48,-0.66%,519.90,31.35m,1137
56,08/16/16,532.05,539.84,522.19,523.38,42778,-9.93,-1.86%,523.38,22.53m,947
57,08/15/16,536.60,537.03,527.4101,533.31,55233,-0.56,-0.10%,533.31,29.41m,991
58,08/12/16,535.42,535.42,530.01,533.87,26254,-0.64,-0.12%,533.87,13.99m,733
59,08/11/16,538.59,538.59,534.03,534.51,21117,-3.44,-0.64%,534.51,11.31m,513
60,08/10/16,541.30,541.30,536.35,537.95,16103,-2.85,-0.53%,537.95,8.67m,555
61,08/09/16,539.65,542.44,534.77,540.80,24865,1.06,0.20%,540.80,13.44m,517
62,08/08/16,538.11,540.97,534.32,539.74,28050,0.96,0.18%,539.74,15.13m,519
63,08/05/16,539.75,542.79,534.031,538.78,41943,2.96,0.55%,538.78,22.52m,828
64,08/04/16,540.89,544.99,533.805,535.82,30739,-1.99,-0.37%,535.82,16.52m,680
65,08/03/16,540.57,544.00,536.48,537.81,53298,-7.06,-1.30%,537.81,28.75m,1036
66,08/02/16,543.94,546.1404,536.15,544.87,41591,1.30,0.24%,544.87,22.59m,910
67,08/01/16,546.30,549.94,540.68,543.57,27747,0.07,0.01%,543.57,15.12m,626
68,07/29/16,550.35,550.35,543.13,543.50,39268,-5.33,-0.97%,543.50,21.39m,698
69,07/28/16,543.56,551.98,543.56,548.83,28271,3.50,0.64%,548.83,15.5m,747
70,07/27/16,544.12,549.80,542.02,545.33,37378,1.07,0.20%,545.33,20.38m,888
71,07/26/16,546.05,548.98,541.4501,544.26,44139,0.19,0.03%,544.26,24.02m,858
72,07/25/16,551.35,551.35,543.99,544.07,24734,-7.82,-1.42%,544.07,13.49m,560
73,07/22/16,548.11,553.48,547.10,551.89,36963,5.76,1.05%,551.89,20.34m,684
74,07/21/16,543.99,548.9699,543.99,546.13,26701,1.87,0.34%,546.13,14.56m,598
75,07/20/16,543.46,547.40,541.44,544.26,27125,0.32,0.06%,544.26,14.78m,652
76,07/19/16,543.81,545.88,541.55,543.94,32173,-1.01,-0.19%,543.94,17.49m,604
