,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,27.79,27.99,27.21,27.51,126730,-0.229181,-0.83%,27.412,3.48m,1394
2,10/31/16,27.70,27.91,27.55,27.74,260346,0.059786,0.22%,27.6412,7.23m,1050
3,10/28/16,27.87,28.04,27.64,27.68,111748,-0.298931,-1.07%,27.5814,3.1m,1071
4,10/27/16,27.85,28.01,27.68,27.98,148667,0.199288,0.72%,27.8804,4.15m,1234
5,10/26/16,27.48,28.14,27.46,27.78,251077,0.039857,0.14%,27.6811,7m,1116
6,10/25/16,27.64,27.91,27.63,27.74,263174,0.00,0.00%,27.6412,7.31m,1818
7,10/24/16,27.67,28.13,27.65,27.74,217163,0.079715,0.29%,27.6412,6.04m,1465
8,10/21/16,27.00,27.77,26.98,27.66,243319,0.448398,1.65%,27.5615,6.68m,1652
9,10/20/16,26.60,27.23,26.60,27.21,598775,0.797151,3.03%,27.1131,16.16m,5635
10,10/19/16,26.27,26.57,26.12,26.41,114563,0.219217,0.84%,26.316,3.02m,688
11,10/18/16,26.26,26.26,26.01,26.19,81264,0.169394,0.65%,26.0967,2.13m,737
12,10/17/16,26.24,26.28,25.97,26.02,149340,-0.259074,-0.99%,25.9273,3.89m,1121
13,10/14/16,26.36,26.45,26.15,26.28,52183,0.219217,0.84%,26.1864,1.37m,430
14,10/13/16,26.51,26.51,25.94,26.06,265912,-0.587899,-2.21%,25.9672,6.93m,2029
15,10/12/16,26.49,26.74,26.46,26.65,144079,0.089679,0.34%,26.5551,3.84m,836
16,10/11/16,26.90,26.95,26.40,26.56,92762,-0.348753,-1.30%,26.4654,2.47m,859
17,10/10/16,26.60,26.93,26.55,26.91,233192,0.448397,1.70%,26.8142,6.25m,1481
18,10/07/16,26.63,26.63,26.29,26.46,147306,-0.139501,-0.53%,26.3658,3.89m,1004
19,10/06/16,26.35,26.60,26.14,26.60,211636,0.328824,1.26%,26.5053,5.6m,1604
20,10/05/16,26.00,26.46,26.00,26.27,164970,0.269039,1.04%,26.1765,4.34m,1048
21,10/04/16,26.01,26.22,25.89,26.00,195328,-0.049822,-0.19%,25.9074,5.08m,1305
22,10/03/16,26.17,26.23,25.90,26.05,194822,-0.239145,-0.91%,25.9572,5.07m,1390
23,09/30/16,26.07,26.42,26.07,26.29,195258,0.229181,0.88%,26.1964,5.14m,1027
