,Date,Open,High,Low,Close,Volume,Chg,% Chg,Adj. Close,Trade Val,# Trades
1,11/01/16,7.67,7.70,7.53,7.60,35172,0.18,2.43%,7.60,268.42k,213
2,10/31/16,7.39,7.46,7.36,7.42,47774,-0.23,-3.01%,7.42,354.57k,302
3,10/28/16,7.48,7.7011,7.48,7.65,12089,0.1199,1.59%,7.65,92.26k,71
4,10/27/16,7.58,7.60,7.53,7.5301,37086,-0.2999,-3.83%,7.5301,280.34k,203
5,10/26/16,7.88,7.88,7.77,7.83,40596,-0.16,-2.00%,7.83,317.87k,278
6,10/25/16,8.02,8.06,7.9601,7.99,20025,-0.06,-0.75%,7.99,159.98k,84
7,10/24/16,8.08,8.09,8.00,8.05,100490,0.39,5.09%,8.05,807.89k,506
8,10/21/16,7.66,7.69,7.64,7.66,7545,-0.06,-0.78%,7.66,57.85k,65
9,10/20/16,7.72,7.76,7.70,7.72,29495,-0.03,-0.39%,7.72,227.88k,122
10,10/19/16,7.69,7.75,7.68,7.75,25751,0.11,1.44%,7.75,198.88k,246
11,10/18/16,7.66,7.67,7.631,7.64,19090,0.05,0.66%,7.64,146.15k,172
12,10/17/16,7.59,7.5993,7.55,7.59,21147,0.01,0.13%,7.59,160.17k,121
13,10/14/16,7.57,7.61,7.55,7.58,22843,0.07,0.93%,7.58,173.29k,205
14,10/13/16,7.47,7.55,7.42,7.51,71425,-0.04,-0.53%,7.51,535k,330
15,10/12/16,7.48,7.55,7.48,7.55,27580,0.11,1.48%,7.55,207.39k,93
16,10/11/16,7.53,7.54,7.40,7.44,54325,-0.24,-3.12%,7.44,405.44k,166
17,10/10/16,7.69,7.79,7.60,7.68,234818,0.00,0.00%,7.68,1.8m,679
18,10/07/16,7.60,7.80,7.52,7.68,237467,0.21,2.81%,7.68,1.83m,630
19,10/06/16,7.44,7.50,7.41,7.47,73702,0.23,3.18%,7.47,548.82k,348
20,10/05/16,7.33,7.33,7.19,7.24,75374,0.40,5.85%,7.24,545.29k,291
21,10/04/16,6.93,6.98,6.84,6.84,25107,0.03,0.44%,6.84,173.34k,125
22,10/03/16,6.80,6.83,6.75,6.81,10102,0.03,0.44%,6.81,68.51k,62
23,09/30/16,6.79,6.87,6.73,6.78,74433,-0.05,-0.73%,6.78,505.9k,380
